Pokemon_1,Type_1,Type_number_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2,Type_2,Type_number_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index,N_Pokemon_1,N_Pokemon_2
Wobbuffet,Psychic,14,190,33,58,33,314,Slowbro,Water,3,95,75,110,30,293.5,1,17720,202,80
Girafarig,Normal,5,70,80,65,85,300,Slowking,Water,3,95,75,80,30,200,1,17721,203,199
Pineco,Bug,4,50,65,90,15,220,Slowpoke,Water,3,90,65,65,15,105,1,17722,204,79
Forretress,Bug,4,75,90,140,40,345,Sobble,Water,3,50,40,40,70,110,1,17723,205,816
Dunsparce,Normal,5,100,70,70,45,285,Squirtle,Water,3,44,48,65,43,130,1,17724,206,7
Gligar,Ground,9,65,75,105,85,330,Starmie,Water,3,60,75,85,115,260,1,17725,207,121
Steelix,Steel,12,75,85,200,30,390,Staryu,Water,3,30,45,55,85,172.5,1,17726,208,120
Mega Steelix,Steel,12,75,125,230,30,460,Suicune,Water,3,100,75,115,85,312.5,1,17727,208,245
Snubbull,Fairy,11,60,80,50,30,220,Swampert,Water,3,100,110,90,60,280,0,17728,209,260
Granbull,Fairy,11,90,120,75,45,330,Swanna,Water,3,75,87,63,98,203,1,17729,210,581
Qwilfish,Water,3,65,95,85,85,330,Tapu Fini,Water,3,70,75,115,85,297.5,1,17730,211,788
Scizor,Bug,4,70,130,100,65,365,Tentacool,Water,3,40,40,35,70,120,1,17731,212,72
Mega Scizor,Bug,4,70,150,140,75,435,Tentacruel,Water,3,80,70,65,100,240,1,17732,212,73
Shuckle,Bug,4,20,10,230,5,265,Tirtouga,Water,3,54,78,103,22,247,1,17733,213,564
Heracross,Bug,4,80,125,75,85,365,Totodile,Water,3,50,65,64,43,97,1,17734,214,158
Mega Heracross,Bug,4,80,185,115,75,455,Tympole,Water,3,50,50,40,64,19,1,17735,214,535
Sneasel,Dark,6,55,95,55,115,320,Vaporeon,Water,3,130,65,60,65,225,1,17736,215,134
Teddiursa,Normal,5,60,80,50,40,230,Wailmer,Water,3,130,70,35,60,215,1,17737,216,320
Ursaring,Normal,5,90,130,75,55,350,Wailord,Water,3,170,90,45,60,235,1,17738,217,321
Slugma,Fire,2,40,40,40,20,140,Wartortle,Water,3,59,63,80,58,240,0,17739,218,8
Magcargo,Fire,2,60,50,120,30,260,Whiscash,Water,3,110,78,73,60,296,0,17740,219,340
Swinub,Ice,10,50,50,40,50,190,Wingull,Water,3,40,30,30,85,135,1,17741,220,278
Piloswine,Ice,10,100,100,80,50,330,Wishiwashi School Form,Water,3,45,140,130,30,295,1,17742,221,746
Corsola,Water,3,65,55,95,35,250,Wishiwashi Solo Form,Water,3,45,20,20,40,97.5,1,17743,222,746
Galarian Corsola,Ghost,16,60,55,100,30,245,Wooper,Water,3,55,45,45,15,105,1,17744,222,194
Remoraid,Water,3,35,65,35,65,200,Alomomola,Water,3,165,75,80,65,352.5,0,17745,223,594
Octillery,Water,3,75,105,75,45,300,Araquanid,Water,3,68,70,92,42,219.5,1,17746,224,752
Delibird,Ice,10,45,55,45,75,220,Arctovish,Water,3,90,90,100,55,321.25,0,17747,225,883
Mantine,Water,3,85,40,70,70,265,Arrokuda,Water,3,41,63,40,66,190,1,17748,226,846
Skarmory,Steel,12,65,80,140,70,355,Ash-Greninja,Water,3,72,145,67,132,376,0,17749,227,658
Houndour,Dark,6,45,60,30,65,200,Azumarill,Water,3,100,50,80,50,250,0,17750,228,184
Houndoom,Dark,6,75,90,50,95,310,Barboach,Water,3,50,48,43,60,111,1,17751,229,339
Mega Houndoom,Dark,6,75,90,90,115,370,Barraskewda,Water,3,61,123,60,136,290,1,17752,229,847
Kingdra,Water,3,75,95,95,85,350,Basculin Blue-Striped Form,Water,3,70,92,65,98,277.5,1,17753,230,550
Phanpy,Ground,9,90,60,60,40,250,Basculin Red-Striped Form,Water,3,70,92,65,98,265,0,17754,231,550
Donphan,Ground,9,90,120,120,50,380,Blastoise,Water,3,79,83,100,78,220,1,17755,232,9
Porygon2,Normal,5,85,80,90,60,315,Brionne,Water,3,60,69,69,50,168,1,17756,233,729
Stantler,Normal,5,73,95,62,85,315,Bruxish,Water,3,68,105,70,92,240,1,17757,234,779
Smeargle,Normal,5,55,20,35,75,185,Buizel,Water,3,55,65,35,85,220,0,17758,235,418
Tyrogue,Fighting,13,35,35,35,35,140,Carracosta,Water,3,74,108,133,32,312,0,17759,236,565
Hitmontop,Fighting,13,50,95,95,70,310,Carvanha,Water,3,45,90,20,65,30,1,17760,237,318
Smoochum,Ice,10,45,30,15,65,155,Castform Rainy Form,Water,3,70,70,70,70,265,0,17761,238,351
Elekid,Electric,8,45,63,37,95,240,Chewtle,Water,3,50,64,50,44,82,1,17762,239,833
Magby,Fire,2,45,75,37,83,240,Chinchou,Water,3,75,38,38,67,180.5,1,17763,240,170
Miltank,Normal,5,95,80,105,100,380,Clamperl,Water,3,35,64,85,32,136,1,17764,241,366
Blissey,Normal,5,255,10,10,55,330,Clauncher,Water,3,50,53,62,44,199,1,17765,242,692
Raikou,Electric,8,90,85,75,115,365,Clawitzer,Water,3,71,73,88,59,121,1,17766,243,693
Entei,Fire,2,115,115,85,100,415,Cloyster,Water,3,50,95,180,70,280,1,17767,244,91
Suicune,Water,3,100,75,115,85,375,Corphish,Water,3,43,80,65,35,185.5,1,17768,245,341
Larvitar,Rock,15,50,64,50,41,205,Corsola,Water,3,65,55,95,35,186,1,17769,246,222
Pupitar,Rock,15,70,84,70,51,275,Crawdaunt,Water,3,63,120,85,55,239,1,17770,247,342
Tyranitar,Rock,15,100,134,110,61,405,Croconaw,Water,3,65,80,80,58,149,1,17771,248,159
Mega Tyranitar,Rock,15,100,164,150,71,485,Dewgong,Water,3,90,70,80,70,-18,1,17772,248,87
Lugia,Psychic,14,106,90,130,110,436,Dewott,Water,3,75,75,60,60,180,1,17773,249,502
Ho-oh,Fire,2,106,130,90,90,416,Dewpider,Water,3,38,40,52,27,92,1,17774,250,751
Celebi,Psychic,14,100,100,100,100,400,Dracovish,Water,3,90,90,100,75,255,1,17775,251,882
Treecko,Grass,1,40,45,35,70,190,Drednaw,Water,3,90,115,90,74,189,1,17776,252,834
Grovyle,Grass,1,50,65,45,95,255,Drizzile,Water,3,65,60,55,90,140,1,17777,253,817
Sceptile,Grass,1,70,85,65,120,340,Ducklett,Water,3,62,44,50,55,126,1,17778,254,580
Mega Sceptile,Grass,1,70,110,75,145,400,Empoleon,Water,3,84,86,88,60,208,1,17779,254,395
Torchic,Fire,2,45,60,40,45,190,Feebas,Water,3,20,15,20,80,105,1,17780,255,349
Combusken,Fire,2,60,85,60,55,260,Feraligatr,Water,3,85,105,100,78,325.5,0,17781,256,160
Blaziken,Fire,2,80,120,70,80,350,Finneon,Water,3,49,49,56,66,160,1,17782,257,456
Mega Blaziken,Fire,2,80,160,80,100,420,Floatzel,Water,3,85,105,55,115,280,1,17783,257,419
Mudkip,Water,3,50,70,50,40,210,Frillish,Water,3,55,40,50,40,185,1,17784,258,592
Marshtomp,Water,3,70,85,70,50,275,Froakie,Water,3,41,56,40,71,165.5,1,17785,259,656
Swampert,Water,3,100,110,90,60,360,Frogadier,Water,3,54,63,52,97,211,1,17786,260,657
Mega Swampert,Water,3,100,150,110,70,430,Gastrodon,Water,3,111,83,68,39,151,1,17787,260,423
Poochyena,Dark,6,35,55,35,35,160,Goldeen,Water,3,45,67,60,63,180,0,17788,261,118
Mightyena,Dark,6,70,90,70,70,300,Golduck,Water,3,80,82,78,85,235,1,17789,262,55
Zigzagoon,Normal,5,38,30,41,60,169,Gorebyss,Water,3,55,84,105,52,266,0,17790,263,368
Galarian Zigzagoon,Dark,6,38,30,41,60,169,Greninja,Water,3,72,95,67,122,341,0,17791,263,658
Linoone,Normal,5,78,70,61,100,309,Gyarados,Water,3,95,125,79,81,310,0,17792,264,130
Galarian Linoone,Dark,6,78,70,61,100,309,Horsea,Water,3,30,40,70,60,130,1,17793,264,116
Wurmple,Bug,4,45,45,35,20,145,Huntail,Water,3,55,104,105,52,271,0,17794,265,367
Silcoon,Bug,4,50,35,55,15,155,Inteleon,Water,3,70,85,65,120,305,0,17795,266,818
Beautifly,Bug,4,60,70,50,65,245,Jellicent,Water,3,100,60,70,60,255,0,17796,267,593
Cascoon,Bug,4,50,35,55,15,155,Keldeo Ordinary Forme,Water,3,91,72,90,108,343.5,0,17797,268,647
Dustox,Bug,4,60,50,70,65,245,Keldeo Resolute Forme,Water,3,91,72,90,108,336,0,17798,269,647
Lotad,Water,3,40,30,30,30,130,Kingdra,Water,3,75,95,95,85,342.5,0,17799,270,230
Lombre,Water,3,60,50,50,50,210,Kingler,Water,3,55,130,115,75,350,0,17800,271,99
Ludicolo,Water,3,80,70,70,70,290,Krabby,Water,3,30,105,90,50,240,1,17801,272,98
Seedot,Grass,1,40,40,50,30,160,Kyogre,Water,3,100,100,90,90,300,0,17802,273,382
Nuzleaf,Grass,1,70,70,40,60,240,Lanturn,Water,3,125,58,58,67,168,1,17803,274,171
Shiftry,Grass,1,90,100,60,80,330,Lapras,Water,3,130,85,80,60,155,1,17804,275,131
Taillow,Normal,5,40,55,30,85,210,Lombre,Water,3,60,50,50,50,155,1,17805,276,271
Swellow,Normal,5,60,85,60,125,330,Lotad,Water,3,40,30,30,30,45,1,17806,277,270
Wingull,Water,3,40,30,30,85,185,Ludicolo,Water,3,80,70,70,70,282.5,0,17807,278,272
Pelipper,Water,3,60,50,100,65,275,Lumineon,Water,3,69,69,76,91,280,0,17808,279,457
Ralts,Psychic,14,28,25,25,40,118,Luvdisc,Water,3,43,30,55,97,200,0,17809,280,370
Kirlia,Psychic,14,38,35,35,50,158,Magikarp,Water,3,20,10,55,80,130,1,17810,281,129
Gardevoir,Psychic,14,68,65,65,80,278,Manaphy,Water,3,100,100,100,100,335,0,17811,282,490
Mega Gardevoir,Psychic,14,68,85,65,100,318,Mantine,Water,3,85,40,70,70,180,1,17812,282,226
Surskit,Bug,4,40,30,32,65,167,Mantyke,Water,3,45,20,50,50,150,1,17813,283,458
Masquerain,Bug,4,70,60,62,80,272,Marill,Water,3,70,20,50,40,150,1,17814,284,183
Shroomish,Grass,1,60,40,60,35,195,Marshtomp,Water,3,70,85,70,50,115,1,17815,285,259
Breloom,Grass,1,60,130,80,70,340,Mega Blastoise,Water,3,79,103,120,78,120,1,17816,286,9
Slakoth,Normal,5,60,60,60,30,210,Mega Gyarados,Water,3,95,155,109,81,380,0,17817,287,130
Vigoroth,Normal,5,80,80,80,90,330,Mega Sharpedo,Water,3,70,140,70,105,305,1,17818,288,319
Slaking,Normal,5,150,160,100,100,510,Mega Slowbro,Water,3,95,75,180,30,220,1,17819,289,80
Nincada,Bug,4,31,45,90,40,206,Mega Swampert,Water,3,100,150,110,70,385,0,17820,290,260
Ninjask,Bug,4,61,90,45,160,356,Milotic,Water,3,95,60,79,81,225,1,17821,291,350
Shedinja,Bug,4,1,90,45,40,176,Mudkip,Water,3,50,70,50,40,120,1,17822,292,258
Whismur,Normal,5,64,51,23,28,166,Octillery,Water,3,75,105,75,45,249,0,17823,293,224
Loudred,Normal,5,84,71,43,48,246,Oshawott,Water,3,55,55,45,45,129,1,17824,294,501
Exploud,Normal,5,104,91,63,68,326,Palkia,Water,3,90,120,100,100,319,1,17825,295,484
Makuhita,Fighting,13,72,60,30,25,187,Palpitoad,Water,3,75,65,55,69,204,0,17826,296,536
Hariyama,Fighting,13,144,120,60,50,374,Panpour,Water,3,50,53,48,64,95,1,17827,297,515
Azurill,Normal,5,50,20,40,20,130,Pelipper,Water,3,60,50,100,65,255,0,17828,298,279
Nosepass,Rock,15,30,45,135,30,240,Phione,Water,3,80,80,80,80,275,0,17829,299,489
Skitty,Normal,5,50,45,45,50,190,Piplup,Water,3,53,51,53,40,152,1,17830,300,393
Delcatty,Normal,5,70,65,65,90,290,Politoed,Water,3,90,75,75,70,245,1,17831,301,186
Sableye,Dark,6,50,75,75,50,250,Poliwag,Water,3,40,50,40,90,145,1,17832,302,60
Mega Sableye,Dark,6,50,85,125,20,280,Poliwhirl,Water,3,65,65,65,90,200,1,17833,302,61
Mawile,Steel,12,50,85,85,50,270,Poliwrath,Water,3,90,95,95,70,307.5,0,17834,303,62
Mega Mawile,Steel,12,50,105,125,50,330,Popplio,Water,3,50,54,54,40,145.5,1,17835,303,728
Aron,Steel,12,50,70,100,30,250,Primal Kyogre,Water,3,100,150,90,90,395,0,17836,304,382
Lairon,Steel,12,60,90,140,40,330,Primarina,Water,3,80,74,74,60,198,1,17837,305,730
Aggron,Steel,12,70,110,180,50,410,Prinplup,Water,3,64,66,68,50,193,1,17838,306,394
Mega Aggron,Steel,12,70,140,230,50,490,Psyduck,Water,3,50,52,48,55,135,1,17839,306,54
Meditite,Fighting,13,30,40,55,60,185,Pyukumuku,Water,3,55,60,130,5,210,0,17840,307,771
Medicham,Fighting,13,60,60,75,80,275,Quagsire,Water,3,95,85,85,35,240,1,17841,308,195
Mega Medicham,Fighting,13,60,100,85,100,345,Qwilfish,Water,3,65,95,85,85,280,1,17842,308,211
Electrike,Electric,8,40,45,40,65,190,Relicanth,Water,3,100,90,130,55,285,0,17843,309,369
Manectric,Electric,8,70,75,60,105,310,Remoraid,Water,3,35,65,35,65,50,1,17844,310,223
Mega Manectric,Electric,8,70,75,80,135,360,Samurott,Water,3,95,100,85,70,200,1,17845,310,503
Plusle,Electric,8,60,50,40,95,245,Seadra,Water,3,55,65,95,85,200,1,17846,311,117
Minun,Electric,8,60,40,50,95,245,Seaking,Water,3,80,92,65,68,225,1,17847,312,119
Volbeat,Bug,4,65,73,75,85,298,Seel,Water,3,65,45,55,45,137,1,17848,313,86
Illumise,Bug,4,65,47,75,85,272,Seismitoad,Water,3,105,95,75,74,302,0,17849,314,537
Roselia,Grass,1,50,60,45,65,220,Sharpedo,Water,3,70,120,40,95,205,1,17850,315,319
Gulpin,Poison,7,70,43,53,40,206,Shellder,Water,3,30,65,100,40,192,1,17851,316,90
Swalot,Poison,7,100,73,83,55,311,Shellos,Water,3,76,48,48,34,133,1,17852,317,422
Carvanha,Water,3,45,90,20,65,220,Simipour,Water,3,75,98,63,101,292,0,17853,318,516
Sharpedo,Water,3,70,120,40,95,325,Slowbro,Water,3,95,75,110,30,250,1,17854,319,80
Mega Sharpedo,Water,3,70,140,70,105,385,Slowking,Water,3,95,75,80,30,210,1,17855,319,199
Wailmer,Water,3,130,70,35,60,295,Slowpoke,Water,3,90,65,65,15,200,1,17856,320,79
Wailord,Water,3,170,90,45,60,365,Sobble,Water,3,50,40,40,70,155,1,17857,321,816
Numel,Fire,2,60,60,40,35,195,Squirtle,Water,3,44,48,65,43,170,1,17858,322,7
Camerupt,Fire,2,70,100,70,40,280,Starmie,Water,3,60,75,85,115,285,0,17859,323,121
Mega Camerupt,Fire,2,70,120,100,20,310,Staryu,Water,3,30,45,55,85,155,1,17860,323,120
Torkoal,Fire,2,70,85,140,20,315,Suicune,Water,3,100,75,115,85,332.5,0,17861,324,245
Spoink,Psychic,14,60,25,35,60,180,Swampert,Water,3,100,110,90,60,335,0,17862,325,260
Grumpig,Psychic,14,80,45,65,80,270,Swanna,Water,3,75,87,63,98,278,0,17863,326,581
Spinda,Normal,5,60,60,60,60,240,Tapu Fini,Water,3,70,75,115,85,285,0,17864,327,788
Trapinch,Ground,9,45,100,45,10,200,Tentacool,Water,3,40,40,35,70,-15,1,17865,328,72
Vibrava,Ground,9,50,70,50,70,240,Tentacruel,Water,3,80,70,65,100,175,1,17866,329,73
Flygon,Ground,9,80,100,80,100,360,Tirtouga,Water,3,54,78,103,22,107,1,17867,330,564
Cacnea,Grass,1,50,85,40,35,210,Totodile,Water,3,50,65,64,43,52,1,17868,331,158
Cacturne,Grass,1,70,115,60,55,300,Tympole,Water,3,50,50,40,64,-26,1,17869,332,535
Swablu,Normal,5,45,40,60,50,195,Vaporeon,Water,3,130,65,60,65,280,0,17870,333,134
Altaria,Dragon,17,75,70,90,80,315,Wailmer,Water,3,130,70,35,60,225,1,17871,334,320
Mega Altaria,Dragon,17,75,110,110,80,375,Wailord,Water,3,170,90,45,60,255,1,17872,334,321
Zangoose,Normal,5,73,115,60,90,338,Wartortle,Water,3,59,63,80,58,145,1,17873,335,8
Seviper,Poison,7,73,100,60,65,298,Whiscash,Water,3,110,78,73,60,271,1,17874,336,340
Lunatone,Rock,15,90,55,65,70,280,Wingull,Water,3,40,30,30,85,75,1,17875,337,278
Solrock,Rock,15,90,95,85,70,340,Wishiwashi School Form,Water,3,45,140,130,30,250,1,17876,338,746
Barboach,Water,3,50,48,43,60,201,Wishiwashi Solo Form,Water,3,45,20,20,40,101,1,17877,339,746
Whiscash,Water,3,110,78,73,60,321,Wooper,Water,3,55,45,45,15,82,1,17878,340,194
Corphish,Water,3,43,80,65,35,223,Alomomola,Water,3,165,75,80,65,345,0,17879,341,594
Crawdaunt,Water,3,63,120,85,55,323,Araquanid,Water,3,68,70,92,42,212,1,17880,342,752
Baltoy,Ground,9,40,40,55,55,190,Arctovish,Water,3,90,90,100,55,295,0,17881,343,883
Claydol,Ground,9,60,70,105,75,310,Arrokuda,Water,3,41,63,40,66,140,1,17882,344,846
Lileep,Rock,15,66,41,77,23,207,Ash-Greninja,Water,3,72,145,67,132,375,0,17883,345,658
Cradily,Rock,15,86,81,97,43,307,Azumarill,Water,3,100,50,80,50,199,1,17884,346,184
Anorith,Rock,15,45,95,50,75,265,Barboach,Water,3,50,48,43,60,153.5,1,17885,347,339
Armaldo,Rock,15,75,125,100,45,345,Barraskewda,Water,3,61,123,60,136,255,1,17886,348,847
Feebas,Water,3,20,15,20,80,135,Basculin Blue-Striped Form,Water,3,70,92,65,98,317.5,0,17887,349,550
Milotic,Water,3,95,60,79,81,315,Basculin Red-Striped Form,Water,3,70,92,65,98,295,1,17888,350,550
Castform,Normal,5,70,70,70,70,280,Blastoise,Water,3,79,83,100,78,270,1,17889,351,9
Castform Sunny Form,Fire,2,70,70,70,70,280,Brionne,Water,3,60,69,69,50,213,1,17890,351,729
Castform Rainy Form,Water,3,70,70,70,70,280,Bruxish,Water,3,68,105,70,92,300,0,17891,351,779
Castform Snowy Form,Ice,10,70,70,70,70,280,Buizel,Water,3,55,65,35,85,205,1,17892,351,418
Kecleon,Normal,5,60,90,70,40,260,Carracosta,Water,3,74,108,133,32,302,0,17893,352,565
Shuppet,Ghost,16,44,75,35,45,199,Carvanha,Water,3,45,90,20,65,182.5,1,17894,353,318
Banette,Ghost,16,64,115,65,65,309,Castform Rainy Form,Water,3,70,70,70,70,165,1,17895,354,351
Mega Banette,Ghost,16,64,165,75,75,379,Chewtle,Water,3,50,64,50,44,43,1,17896,354,833
Duskull,Ghost,16,20,40,90,25,175,Chinchou,Water,3,75,38,38,67,178,0,17897,355,170
Dusclops,Ghost,16,40,70,130,25,265,Clamperl,Water,3,35,64,85,32,146,1,17898,356,366
Tropius,Grass,1,99,68,83,51,301,Clauncher,Water,3,50,53,62,44,73,1,17899,357,692
Chimecho,Psychic,14,75,50,80,65,270,Clawitzer,Water,3,71,73,88,59,241,1,17900,358,693
Absol,Dark,6,65,130,60,75,330,Cloyster,Water,3,50,95,180,70,265,1,17901,359,91
Mega Absol,Dark,6,65,150,60,115,390,Corphish,Water,3,43,80,65,35,73,1,17902,359,341
Wynaut,Psychic,14,95,23,48,23,189,Corsola,Water,3,65,55,95,35,227,0,17903,360,222
Snorunt,Ice,10,50,50,50,50,200,Crawdaunt,Water,3,63,120,85,55,298,0,17904,361,342
Glalie,Ice,10,80,80,80,80,320,Croconaw,Water,3,65,80,80,58,243,1,17905,362,159
Mega Glalie,Ice,10,80,120,80,100,380,Dewgong,Water,3,90,70,80,70,295,1,17906,362,87
Spheal,Ice,10,70,40,50,25,185,Dewott,Water,3,75,75,60,60,250,0,17907,363,502
Sealeo,Ice,10,90,60,70,45,265,Dewpider,Water,3,38,40,52,27,127,1,17908,364,751
Walrein,Ice,10,110,80,90,65,345,Dracovish,Water,3,90,90,100,75,275,1,17909,365,882
Clamperl,Water,3,35,64,85,32,216,Drednaw,Water,3,90,115,90,74,305,0,17910,366,834
Huntail,Water,3,55,104,105,52,316,Drizzile,Water,3,65,60,55,90,218,1,17911,367,817
Gorebyss,Water,3,55,84,105,52,296,Ducklett,Water,3,62,44,50,55,169,1,17912,368,580
Relicanth,Water,3,100,90,130,55,375,Empoleon,Water,3,84,86,88,60,273,1,17913,369,395
Luvdisc,Water,3,43,30,55,97,225,Feebas,Water,3,20,15,20,80,120,1,17914,370,349
Bagon,Dragon,17,45,75,60,50,230,Feraligatr,Water,3,85,105,100,78,293,0,17915,371,160
Shelgon,Dragon,17,65,95,100,50,310,Finneon,Water,3,49,49,56,66,125,1,17916,372,456
Salamence,Dragon,17,95,135,80,100,410,Floatzel,Water,3,85,105,55,115,225,1,17917,373,419
Mega Salamence,Dragon,17,95,145,130,120,490,Frillish,Water,3,55,40,50,40,40,1,17918,373,592
Beldum,Steel,12,40,55,80,30,205,Froakie,Water,3,41,56,40,71,180.5,1,17919,374,656
Metang,Steel,12,60,75,100,50,285,Frogadier,Water,3,54,63,52,97,228.5,1,17920,375,657
Metagross,Steel,12,80,135,130,70,415,Gastrodon,Water,3,111,83,68,39,233.5,1,17921,376,423
Mega Metagross,Steel,12,80,145,150,110,485,Goldeen,Water,3,45,67,60,63,162.5,1,17922,376,118
Regirock,Rock,15,80,100,200,50,430,Golduck,Water,3,80,82,78,85,225,1,17923,377,55
Regice,Ice,10,80,50,100,50,280,Gorebyss,Water,3,55,84,105,52,271,1,17924,378,368
Registeel,Steel,12,80,75,150,50,355,Greninja,Water,3,72,95,67,122,318.5,1,17925,379,658
Latias,Dragon,17,80,80,90,110,360,Gyarados,Water,3,95,125,79,81,300,1,17926,380,130
Mega Latias,Dragon,17,80,100,120,110,410,Horsea,Water,3,30,40,70,60,100,1,17927,380,116
Latios,Dragon,17,80,90,80,110,360,Huntail,Water,3,55,104,105,52,226,1,17928,381,367
Mega Latios,Dragon,17,80,130,100,110,420,Inteleon,Water,3,70,85,65,120,210,1,17929,381,818
Kyogre,Water,3,100,100,90,90,380,Jellicent,Water,3,100,60,70,60,290,1,17930,382,593
Primal Kyogre,Water,3,100,150,90,90,430,Keldeo Ordinary Forme,Water,3,91,72,90,108,286,1,17931,382,647
Groudon,Ground,9,100,150,140,90,480,Keldeo Resolute Forme,Water,3,91,72,90,108,211,1,17932,383,647
Primal Groudon,Ground,9,100,180,160,90,530,Kingdra,Water,3,75,95,95,85,170,1,17933,383,230
Rayquaza,Dragon,17,105,150,90,95,440,Kingler,Water,3,55,130,115,75,225,1,17934,384,99
Mega Rayquaza,Dragon,17,105,180,100,115,500,Krabby,Water,3,30,105,90,50,95,1,17935,384,98
Jirachi,Steel,12,100,100,100,100,400,Kyogre,Water,3,100,100,90,90,330,1,17936,385,382
Deoxys Normal Forme,Psychic,14,50,150,50,150,400,Lanturn,Water,3,125,58,58,67,158,1,17937,386,171
Deoxys Attack Forme,Psychic,14,50,180,20,150,400,Lapras,Water,3,130,85,80,60,175,1,17938,386,131
Deoxys Defense Forme,Psychic,14,50,70,160,90,370,Lombre,Water,3,60,50,50,50,140,1,17939,386,271
Deoxys Speed Forme,Psychic,14,50,95,90,180,415,Lotad,Water,3,40,30,30,30,35,1,17940,386,270
Turtwig,Grass,1,55,68,64,31,218,Ludicolo,Water,3,80,70,70,70,222,0,17941,387,272
Grotle,Grass,1,75,89,85,36,285,Lumineon,Water,3,69,69,76,91,127,1,17942,388,457
Torterra,Grass,1,95,109,105,56,365,Luvdisc,Water,3,43,30,55,97,7,1,17943,389,370
Chimchar,Fire,2,44,58,44,61,207,Magikarp,Water,3,20,10,55,80,136,1,17944,390,129
Monferno,Fire,2,64,78,52,81,275,Manaphy,Water,3,100,100,100,100,361,0,17945,391,490
Infernape,Fire,2,76,104,71,108,359,Mantine,Water,3,85,40,70,70,213,1,17946,392,226
Piplup,Water,3,53,51,53,40,197,Mantyke,Water,3,45,20,50,50,139.5,1,17947,393,458
Prinplup,Water,3,64,66,68,50,248,Marill,Water,3,70,20,50,40,147,1,17948,394,183
Empoleon,Water,3,84,86,88,60,318,Marshtomp,Water,3,70,85,70,50,189,1,17949,395,259
Starly,Normal,5,40,55,30,60,185,Mega Blastoise,Water,3,79,103,120,78,325,0,17950,396,9
Staravia,Normal,5,55,75,50,80,260,Mega Gyarados,Water,3,95,155,109,81,365,0,17951,397,130
Staraptor,Normal,5,85,120,70,100,375,Mega Sharpedo,Water,3,70,140,70,105,265,1,17952,398,319
Bidoof,Normal,5,59,45,40,31,175,Mega Slowbro,Water,3,95,75,180,30,335,0,17953,399,80
Bibarel,Normal,5,79,85,60,71,295,Mega Swampert,Water,3,100,150,110,70,345,0,17954,400,260
Kricketot,Bug,4,37,25,41,25,128,Milotic,Water,3,95,60,79,81,290,0,17955,401,350
Kricketune,Bug,4,77,85,51,65,278,Mudkip,Water,3,50,70,50,40,125,1,17956,402,258
Shinx,Electric,8,45,65,34,45,189,Octillery,Water,3,75,105,75,45,170,1,17957,403,224
Luxio,Electric,8,60,85,49,60,254,Oshawott,Water,3,55,55,45,45,30,1,17958,404,501
Luxray,Electric,8,80,120,79,70,349,Palkia,Water,3,90,120,100,100,290,1,17959,405,484
Budew,Grass,1,40,30,35,55,160,Palpitoad,Water,3,75,65,55,69,144,1,17960,406,536
Roserade,Grass,1,60,70,65,90,285,Panpour,Water,3,50,53,48,64,75,1,17961,407,515
Cranidos,Rock,15,67,125,40,58,290,Pelipper,Water,3,60,50,100,65,25,1,17962,408,279
Rampardos,Rock,15,97,165,60,58,380,Phione,Water,3,80,80,80,80,155,1,17963,409,489
Shieldon,Rock,15,30,42,118,30,220,Piplup,Water,3,53,51,53,40,155,1,17964,410,393
Bastiodon,Rock,15,60,52,168,30,310,Politoed,Water,3,90,75,75,70,258,1,17965,411,186
Burmy,Bug,4,40,29,45,36,150,Poliwag,Water,3,40,50,40,90,191,0,17966,412,60
Wormadam Plant Cloak,Bug,4,60,59,85,36,240,Poliwhirl,Water,3,65,65,65,90,226,1,17967,413,61
Wormadam Sandy Cloak,Bug,4,60,79,105,36,280,Poliwrath,Water,3,90,95,95,70,310.5,0,17968,413,62
Wormadam Trash Cloak,Bug,4,60,69,95,36,260,Popplio,Water,3,50,54,54,40,129,1,17969,413,728
Mothim,Bug,4,70,94,50,66,280,Primal Kyogre,Water,3,100,150,90,90,336,0,17970,414,382
Combee,Bug,4,30,30,42,70,172,Primarina,Water,3,80,74,74,60,273,0,17971,415,730
Vespiquen,Bug,4,70,80,102,40,292,Prinplup,Water,3,64,66,68,50,168,1,17972,416,394
Pachirisu,Electric,8,60,45,70,95,270,Psyduck,Water,3,50,52,48,55,115,1,17973,417,54
Buizel,Water,3,55,65,35,85,240,Pyukumuku,Water,3,55,60,130,5,217.5,1,17974,418,771
Floatzel,Water,3,85,105,55,115,360,Quagsire,Water,3,95,85,85,35,195,1,17975,419,195
Cherubi,Grass,1,45,35,45,35,160,Qwilfish,Water,3,65,95,85,85,295,0,17976,420,211
Cherrim,Grass,1,70,60,70,85,285,Relicanth,Water,3,100,90,130,55,135,1,17977,421,369
Shellos,Water,3,76,48,48,34,206,Remoraid,Water,3,35,65,35,65,176,1,17978,422,223
Gastrodon,Water,3,111,83,68,39,301,Samurott,Water,3,95,100,85,70,308.5,0,17979,423,503
Ambipom,Normal,5,75,100,66,115,356,Seadra,Water,3,55,65,95,85,200,1,17980,424,117
Drifloon,Ghost,16,90,50,34,70,244,Seaking,Water,3,80,92,65,68,255,0,17981,425,119
Drifblim,Ghost,16,150,80,44,80,354,Seel,Water,3,65,45,55,45,130,1,17982,426,86
